1s | 24.17 C
131s | 241.25 C
132s | 241.25 C
133s | 241.25 C
134s | 243.15 C
135s | 243.15 C
136s | 243.15 C
137s | 245.12 C
138s | 247.16 C
139s | 247.16 C
140s | 247.16 C
141s | 249.28 C
142s | 249.28 C
143s | 249.28 C
144s | 249.28 C
145s | 251.48 C
146s | 251.48 C
147s | 251.48 C
148s | 253.77 C
149s | 253.77 C
150s | 256.15 C
151s | 258.63 C
152s | 253.77 C
153s | 256.15 C
154s | 256.15 C
155s | 258.63 C
156s | 258.63 C
157s | 258.63 C
158s | 258.63 C
159s | 256.15 C
160s | 258.63 C
161s | 261.21 C
162s | 261.21 C
163s | 261.21 C
164s | 263.92 C
165s | 263.92 C
166s | 261.21 C
167s | 266.76 C
168s | 266.76 C
169s | 266.76 C
170s | 266.76 C
171s | 266.76 C
172s | 266.76 C
173s | 269.73 C
174s | 269.73 C
175s | 272.86 C
176s | 272.86 C
177s | 272.86 C
178s | 272.86 C
179s | 269.73 C
180s | 269.73 C
181s | 269.73 C
182s | 272.86 C
183s | 272.86 C
184s | 272.86 C
185s | 272.86 C
186s | 272.86 C
187s | 272.86 C
188s | 272.86 C
189s | 276.16 C
190s | 276.16 C
191s | 276.16 C
192s | 276.16 C
193s | 276.16 C
194s | 276.16 C
195s | 279.64 C
196s | 276.16 C
197s | 279.64 C
198s | 279.64 C
199s | 279.64 C
200s | 276.16 C
201s | 279.64 C
202s | 279.64 C
203s | 279.64 C
204s | 279.64 C
205s | 279.64 C
206s | 279.64 C
207s | 279.64 C
208s | 287.25 C
209s | 283.33 C
210s | 283.33 C
211s | 283.33 C
212s | 283.33 C
214s | 287.25 C
215s | 283.33 C
216s | 283.33 C
217s | 283.33 C
218s | 283.33 C
219s | 283.33 C
220s | 283.33 C
221s | 291.43 C
222s | 283.33 C
223s | 283.33 C
224s | 287.25 C
225s | 287.25 C
226s | 287.25 C
227s | 287.25 C
228s | 287.25 C
229s | 287.25 C
230s | 287.25 C
231s | 287.25 C
232s | 287.25 C
233s | 287.25 C
234s | 283.33 C
235s | 287.25 C
236s | 287.25 C
237s | 283.33 C
238s | 287.25 C
239s | 291.43 C
240s | 287.25 C
241s | 287.25 C
242s | 291.43 C
243s | 287.25 C
244s | 287.25 C
245s | 287.25 C
246s | 291.43 C
247s | 291.43 C
248s | 287.25 C
249s | 291.43 C
250s | 287.25 C
251s | 287.25 C
252s | 291.43 C
253s | 291.43 C
254s | 291.43 C
255s | 291.43 C
256s | 291.43 C
257s | 291.43 C
258s | 291.43 C
259s | 291.43 C
260s | 291.43 C
261s | 291.43 C
262s | 291.43 C
263s | 291.43 C
264s | 291.43 C
265s | 291.43 C
266s | 291.43 C
267s | 291.43 C
268s | 291.43 C
269s | 291.43 C
270s | 291.43 C
271s | 291.43 C
272s | 291.43 C
273s | 291.43 C
274s | 295.89 C
275s | 295.89 C
276s | 287.25 C
277s | 295.89 C
278s | 291.43 C
279s | 291.43 C
280s | 291.43 C
281s | 291.43 C
282s | 287.25 C
283s | 295.89 C
284s | 287.25 C
285s | 295.89 C
286s | 295.89 C
287s | 291.43 C
288s | 295.89 C
289s | 291.43 C
290s | 295.89 C
291s | 295.89 C
292s | 295.89 C
293s | 300.68 C
294s | 291.43 C
295s | 295.89 C
296s | 295.89 C
297s | 291.43 C
298s | 295.89 C
299s | 295.89 C
300s | 295.89 C
301s | 295.89 C
302s | 295.89 C
303s | 295.89 C
304s | 295.89 C
305s | 295.89 C
307s | 295.89 C
308s | 291.43 C
309s | 295.89 C
310s | 300.68 C
311s | 295.89 C
312s | 295.89 C
313s | 295.89 C
314s | 295.89 C
315s | 295.89 C
316s | 295.89 C
317s | 300.68 C
318s | 300.68 C
319s | 295.89 C
320s | 295.89 C
321s | 295.89 C
322s | 291.43 C
323s | 300.68 C
324s | 295.89 C
325s | 295.89 C
326s | 295.89 C
327s | 295.89 C
328s | 295.89 C
329s | 295.89 C
330s | 295.89 C
331s | 295.89 C
332s | 300.68 C
333s | 295.89 C
334s | 295.89 C
335s | 295.89 C
336s | 295.89 C
337s | 300.68 C
338s | 295.89 C
339s | 295.89 C
340s | 295.89 C
341s | 295.89 C
342s | 295.89 C
343s | 295.89 C
344s | 300.68 C
345s | 295.89 C
346s | 295.89 C
347s | 295.89 C
348s | 295.89 C
349s | 295.89 C
350s | 295.89 C
351s | 300.68 C
352s | 295.89 C
353s | 295.89 C
354s | 295.89 C
355s | 295.89 C
356s | 300.68 C
357s | 291.43 C
358s | 300.68 C
359s | 295.89 C
360s | 300.68 C
361s | 291.43 C
362s | 295.89 C
363s | 300.68 C
364s | 300.68 C
365s | 295.89 C
366s | 300.68 C
367s | 291.43 C
368s | 295.89 C
369s | 300.68 C
370s | 300.68 C
371s | 295.89 C
372s | 300.68 C
373s | 300.68 C
374s | 295.89 C
375s | 295.89 C
376s | 295.89 C
377s | 300.68 C
378s | 300.68 C
379s | 300.68 C
380s | 300.68 C
381s | 300.68 C
382s | 300.68 C
383s | 300.68 C
384s | 300.68 C
385s | 300.68 C
386s | 300.68 C
387s | 300.68 C
388s | 300.68 C
389s | 300.68 C
390s | 300.68 C
391s | 300.68 C
392s | 295.89 C
393s | 300.68 C
394s | 295.89 C
395s | 300.68 C
396s | 300.68 C
397s | 300.68 C
398s | 300.68 C
399s | 300.68 C
400s | 295.89 C
